factor,input_rd_expenditure_pct_gdp,input_researchers_rd_per_million,input_secure_internet_servers_per_million,input_fuel_exports_pct_merchandise,input_patent_applications_residents,input_patent_applications_nonresidents,output_gdp_constant_2015_usd,output_international_tourism_arrivals,output_ict_goods_exports_pct_total,output_scientific_technical_journal_articles,output_internet_users_pct_population
2000,,,,93.843835816671,,,198921610821.864,,,324.89,23.6253008751553
2001,,,,91.783197076844,,,201704693314.365,,,376.47,26.2717542010006
2002,,,,55.7261089954946,,,206613089911.721,,,393.49,28.3164853110439
2003,,,,48.2728267331956,,,224796159215.545,,,546.62,29.4779534120864
2004,,,,54.0586347867889,,,246301141350.818,,,563.1,30.1312961695367
2005,,,,57.7303108639363,,,258259409529.61,,4.3,718.77,40.0
2006,,,,62.2532759092846,,,283665213479.189,,,835.69,52.0
2007,,,,63.7197610075105,,,292698220662.137,,2.72,788.38,61.0
2008,,,,62.304908634584,,,302040668640.587,,1.95,906.71,63.0
2009,,,,43.5246022231876,,,286204912265.895,,,1044.34,64.0
2010,,,114.267614461942,49.9895856498744,25.0,1263.0,290792347835.845,,,1264.69,68.0
2011,0.47252,,158.20873925933,53.5351069475687,33.0,1318.0,310381480913.923,,,1423.22,78.0
2012,,,293.176654966659,47.2314196497577,23.0,1327.0,324917470354.939,,7.49,1607.36,84.9999915049492
2013,,,329.25903977249,55.8450474819963,21.0,1402.0,340898464870.844,,1.78,1763.04,88.0
2014,0.67523,,419.632133249953,50.7904126785472,29.0,1438.0,356691886612.605,,2.25,1814.55,90.4000107121939
2015,0.86569,2168.42732,638.900479786748,37.6515533891839,35.0,1714.0,381973042886.317,19313000.0,2.51,2314.25,90.5
2016,0.9318,2509.55341,983.425470014588,31.5589751074458,57.0,1642.0,403584822847.176,20894000.0,2.09,2562.72,90.6000073180483
2017,,,1321.88036180403,35.9982377334342,63.0,1733.0,399301267917.2,21805000.0,7.46,2866.45,94.8199225383446
2018,1.26389,2464.56964,1529.09566701663,68.5381737167988,57.0,1723.0,405439194566.321,23092000.0,7.06,3080.82,98.4500017817194
2019,1.31065,2476.63113,1977.81338448843,77.8387271988389,55.0,1843.0,410593714983.921,25282000.0,7.79,4137.79,99.1499979561243
2020,1.48831,2581.47405,1478.66650469874,71.434331985329,39.0,1869.0,374899053476.789,8084000.0,9.05,4467.88,100.0
