year,sector,gross_fixed_capital_formation_million_aed
2010,Accommodation and Food Service Activities,4166
2010,Administrative and Support Service Activities,3724
2010,"Agriculture,Forestry and Fishing",752
2010,"Arts,Recreation and Other Service Activities",2051
2010,Construction,13818
2010,Education,3629
2010,"Electricity, gas, and Water Supply; Waste Management Activities",22832
2010,Financial and insurance activities,7473
2010,Human Health and Social work Activities,3370
2010,Information and Communication,6557
2010,Manufacturing,41153
2010,Mining and Quarrying (includes crude oil and natural gas),37880
2010,Non-Financial Corporations,216760
2010,"Professional, Scientific and Technical Activities",4050
2010,Public Administration and Defence; Compulsory Social Security,39279
2010,Real Estate Activities,32829
2010,Transportation and Storage,27638
2010,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles,12311
2011,Accommodation and Food Service Activities,5481
2011,Administrative and Support Service Activities,3460
2011,"Agriculture,Forestry and Fishing",817
2011,"Arts,Recreation and Other Service Activities",2096
2011,Construction,11696
2011,Education,8804
2011,"Electricity, gas, and Water Supply; Waste Management Activities",22630
2011,Financial and insurance activities,5298
2011,Human Health and Social work Activities,4790
2011,Information and Communication,9650
2011,Manufacturing,43246
2011,Mining and Quarrying (includes crude oil and natural gas),30284
2011,Non-Financial Corporations,228493
2011,"Professional, Scientific and Technical Activities",3122
2011,Public Administration and Defence; Compulsory Social Security,42264
2011,Real Estate Activities,34697
2011,Transportation and Storage,33058
2011,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles,14661
2012,Accommodation and Food Service Activities,6096
2012,Administrative and Support Service Activities,4767
2012,"Agriculture,Forestry and Fishing",849
2012,"Arts,Recreation and Other Service Activities",2094
2012,Construction,12034
2012,Education,2970
2012,"Electricity, gas, and Water Supply; Waste Management Activities",15213
2012,Financial and insurance activities,6374
2012,Human Health and Social work Activities,5224
2012,Information and Communication,9480
2012,Manufacturing,52754
2012,Mining and Quarrying (includes crude oil and natural gas),41543
2012,Non-Financial Corporations,248055
2012,"Professional, Scientific and Technical Activities",3542
2012,Public Administration and Defence; Compulsory Social Security,31886
2012,Real Estate Activities,40508
2012,Transportation and Storage,34711
2012,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles,16270
2013,Accommodation and Food Service Activities,5250
2013,Administrative and Support Service Activities,3758
2013,"Agriculture,Forestry and Fishing",1155
2013,"Arts,Recreation and Other Service Activities",2627
2013,Construction,9254
2013,Education,3755
2013,"Electricity, gas, and Water Supply; Waste Management Activities",18416
2013,Financial and insurance activities,3378
2013,Human Health and Social work Activities,6168
2013,Information and Communication,6297
2013,Manufacturing,33447
2013,Mining and Quarrying (includes crude oil and natural gas),34707
2013,Non-Financial Corporations,223220
2013,"Professional, Scientific and Technical Activities",4714
2013,Public Administration and Defence; Compulsory Social Security,34342
2013,Real Estate Activities,35989
2013,Transportation and Storage,36816
2013,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles,20867
2014,Accommodation and Food Service Activities,5968
2014,Administrative and Support Service Activities,4397
2014,"Agriculture,Forestry and Fishing",1239
2014,"Arts,Recreation and Other Service Activities",2837
2014,Construction,10029
2014,Education,3440
2014,"Electricity, gas, and Water Supply; Waste Management Activities",20380
2014,Financial and insurance activities,3708
2014,Human Health and Social work Activities,6899
2014,Information and Communication,6359
2014,Manufacturing,30363
2014,Mining and Quarrying (includes crude oil and natural gas),36465
2014,Non-Financial Corporations,246276
2014,"Professional, Scientific and Technical Activities",4952
2014,Public Administration and Defence; Compulsory Social Security,39886
2014,Real Estate Activities,43193
2014,Transportation and Storage,48221
2014,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles,21532
2015,Accommodation and Food Service Activities,6135
2015,Administrative and Support Service Activities,4589
2015,"Agriculture,Forestry and Fishing",1289
2015,"Arts,Recreation and Other Service Activities",3094
2015,Construction,10174
2015,Education,4227
2015,"Electricity, gas, and Water Supply; Waste Management Activities",23858
2015,Financial and insurance activities,5255
2015,Human Health and Social work Activities,7634
2015,Information and Communication,7490
2015,Manufacturing,24275
2015,Mining and Quarrying (includes crude oil and natural gas),49637
2015,Non-Financial Corporations,268656
2015,"Professional, Scientific and Technical Activities",5080
2015,Public Administration and Defence; Compulsory Social Security,33569
