year,gdp_constant_2015_usd,international_tourism_arrivals,ict_goods_exports_pct_total,patent_applications_nonresidents,patent_applications_residents,scientific_technical_journal_articles,fuel_exports_pct_merchandise,secure_internet_servers_per_million,internet_users_pct_population,rd_expenditure_pct_gdp,researchers_rd_per_million
2000,198921610821.864,,,,,324.89,93.843835816671,,23.6253008751553,,
2001,201704693314.365,,,,,376.47,91.783197076844,,26.2717542010006,,
2002,206613089911.721,,,,,393.49,55.7261089954946,,28.3164853110439,,
2003,224796159215.545,,,,,546.62,48.2728267331956,,29.4779534120864,,
2004,246301141350.818,,,,,563.1,54.0586347867889,,30.1312961695367,,
2005,258259409529.61,,4.3,,,718.77,57.7303108639363,,40.0,,
2006,283665213479.189,,,,,835.69,62.2532759092846,,52.0,,
2007,292698220662.137,,2.72,,,788.38,63.7197610075105,,61.0,,
2008,302040668640.587,,1.95,,,906.71,62.304908634584,,63.0,,
2009,286204912265.895,,,,,1044.34,43.5246022231876,,64.0,,
2010,290792347835.845,,,1263.0,25.0,1264.69,49.9895856498744,114.267614461942,68.0,,
2011,310381480913.923,,,1318.0,33.0,1423.22,53.5351069475687,158.20873925933,78.0,0.47252,
2012,324917470354.939,,7.49,1327.0,23.0,1607.36,47.2314196497577,293.176654966659,84.9999915049492,,
2013,340898464870.844,,1.78,1402.0,21.0,1763.04,55.8450474819963,329.25903977249,88.0,,
2014,356691886612.605,,2.25,1438.0,29.0,1814.55,50.7904126785472,419.632133249953,90.4000107121939,0.67523,
2015,381973042886.317,19313000.0,2.51,1714.0,35.0,2314.25,37.6515533891839,638.900479786748,90.5,0.86569,2168.42732
2016,403584822847.176,20894000.0,2.09,1642.0,57.0,2562.72,31.5589751074458,983.425470014588,90.6000073180483,0.9318,2509.55341
2017,399301267917.2,21805000.0,7.46,1733.0,63.0,2866.45,35.9982377334342,1321.88036180403,94.8199225383446,,
2018,405439194566.321,23092000.0,7.06,1723.0,57.0,3080.82,68.5381737167988,1529.09566701663,98.4500017817194,1.26389,2464.56964
2019,410593714983.921,25282000.0,7.79,1843.0,55.0,4137.79,77.8387271988389,1977.81338448843,99.1499979561243,1.31065,2476.63113
2020,374899053476.789,8084000.0,9.05,1869.0,39.0,4467.88,71.434331985329,1478.66650469874,100.0,1.48831,2581.47405
